,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed
0,RandomForestClassifier,['mp_bin'],25,"[1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 1
 0 1 0 1 1 1 1 0 0 0 1 1 1]","[1 0 1 1 0 0 0 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0
 0 1 0 1 1 1 1 0 1 0 1 1 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 259, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.82,0.82,0.8108448928121059,0.6218487394957983,1
1,RandomForestClassifier,['mp_bin'],50,"[0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1
 0 1 0 1 1 1 1 0 0 0 1 1 1]","[0 0 1 1 0 0 0 1 1 1 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0
 1 1 0 1 1 1 1 0 1 0 1 1 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 194, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8,0.8000000000000002,0.797077922077922,0.5941558441558441,1
2,RandomForestClassifier,['mp_bin'],100,"[1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0
 1 0 0 0 0 0 1 0 1 1 1 0 1]","[1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 0
 1 0 0 0 1 0 1 0 1 1 1 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 160, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.86,0.8599999999999999,0.8599439775910365,0.72,1
3,RandomForestClassifier,['mp_bin'],150,"[1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 0 1
 0 0 0 0 1 0 1 0 1 0 1 1 1]","[1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 1
 0 0 0 0 1 0 1 0 1 0 1 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 13, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 181, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.88,0.88,0.88,0.7634069400630915,1
4,XGBClassifier,['mp_bin'],25,"[1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 1 0 1 0 0 1 0 1
 0 1 0 1 1 1 1 0 0 0 1 1 1]","[1 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 1
 0 1 0 1 1 1 1 0 1 0 1 1 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7029923885737733, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.9696944905285935e-05, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.01898633340086326, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 13, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 65, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.0008235225655227914, 'reg_lambda': 0.018753478230614386, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.688535828773698, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8263888888888888,0.6533795493934142,1
5,XGBClassifier,['mp_bin'],50,"[0 0 1 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 1
 0 1 0 1 1 1 1 0 0 0 1 1 1]","[0 0 1 1 0 0 0 1 1 1 1 0 1 0 0 1 1 1 1 1 0 1 0 1 0 1 1 0 0 0 0 1 1 1 0 0 0
 1 1 0 1 1 1 1 0 0 0 1 1 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5345983206028689, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.9141365872929764e-06, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.03513241523746335, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 184, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.0004497333255579143, 'reg_lambda': 4.5091849722535086e-07, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.768764871027245, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8376623376623377,0.6753246753246753,1
6,XGBClassifier,['mp_bin'],100,"[1 0 0 1 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 0
 1 0 0 0 0 0 1 0 1 1 1 0 1]","[1 0 0 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 1 1 1 0 1
 1 0 0 0 1 0 1 0 1 1 1 0 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9103881024548395, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.0573578396852353e-06, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.010390052842358378, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 7, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 114, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 6.45546243752008e-07, 'reg_lambda': 0.00012089726294456219, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8438468562091339, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.88,0.88,0.8798076923076923,0.76,1
7,XGBClassifier,['mp_bin'],150,"[1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 1 1 0 0 1
 0 0 0 0 1 0 1 0 1 0 1 1 1]","[1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 0 1 1 1 0 0 1
 0 0 0 0 1 1 1 0 1 1 1 0 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5808845425240976, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.12508978547049562, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.015394969662265594, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 14, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 134, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 3.288630025612247e-08, 'reg_lambda': 8.99271807359195e-07, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6986529764081575, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8397435897435896,0.6815286624203822,1
8,RandomForestClassifier,['mp_bin'],25,"[1 1 1 1 0 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0
 0 1 1 1 0 0 0 1 1 0 0 0 1]","[1 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 0 0
 0 1 1 1 0 0 1 1 1 0 0 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 96, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.8400000000000001,0.6805111821086263,2
9,RandomForestClassifier,['mp_bin'],50,"[0 1 1 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0 1 0 1 1 0 1 0 1 0
 0 0 0 1 1 1 0 0 1 1 0 0 0]","[0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 1 0 1 0 0 0 1 1 0
 0 0 0 1 1 1 0 1 1 1 0 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 226, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.78,0.78,0.7777777777777777,0.555735056542811,2
